utctimestamp,in_packets,in_dropped,in_bytes,in_errors,name,out_packets,out_dropped,out_bytes,out_errors
2022-06-01 12:27:09.619641+00:00,3721312,15,204783953,0,eth0,1867556,0,1013771763,0
2022-06-01 12:27:24.616334+00:00,3721386,15,204789180,0,eth0,1867600,0,1013780808,0
2022-06-01 12:27:39.606081+00:00,3721401,15,204790094,0,eth0,1867610,0,1013785176,0
2022-06-01 12:27:54.615789+00:00,3721415,15,204790949,0,eth0,1867620,0,1013790587,0
2022-06-01 12:28:09.637504+00:00,3721428,15,204791717,0,eth0,1867629,0,1013794745,0
2022-06-01 12:28:24.632336+00:00,3721503,15,204797272,0,eth0,1867683,0,1013805324,0
2022-06-01 12:28:39.625566+00:00,3721515,15,204797994,0,eth0,1867691,0,1013809459,0
2022-06-01 12:28:54.601069+00:00,3721528,15,204798797,0,eth0,1867701,0,1013814886,0
2022-06-01 12:29:09.626057+00:00,3721541,15,204799565,0,eth0,1867710,0,1013819054,0
2022-06-01 12:29:24.614289+00:00,3721557,15,204800832,0,eth0,1867723,0,1013824713,0
2022-06-01 12:29:39.624706+00:00,3721570,15,204801600,0,eth0,1867734,0,1013829102,0
2022-06-01 12:29:54.624771+00:00,3721583,15,204802403,0,eth0,1867745,0,1013834612,0
2022-06-01 12:30:09.600015+00:00,3721595,15,204803125,0,eth0,1867754,0,1013838816,0
2022-06-01 12:30:24.603613+00:00,3721609,15,204803974,0,eth0,1867765,0,1013844280,0
2022-06-01 12:30:39.610658+00:00,3721621,15,204804696,0,eth0,1867773,0,1013848415,0
2022-06-01 12:30:54.613300+00:00,3721636,15,204805597,0,eth0,1867784,0,1013853897,0
2022-06-01 12:31:09.659572+00:00,3721648,15,204806319,0,eth0,1867792,0,1013858009,0
2022-06-01 12:31:24.618336+00:00,3721664,15,204807278,0,eth0,1867802,0,1013863421,0
2022-06-01 12:31:39.607121+00:00,3721677,15,204808046,0,eth0,1867811,0,1013867591,0
2022-06-01 12:31:54.607398+00:00,3721691,15,204808901,0,eth0,1867821,0,1013873041,0
2022-06-01 12:32:09.608150+00:00,3721704,15,204809669,0,eth0,1867830,0,1013877194,0
2022-06-01 12:32:24.627632+00:00,3721718,15,204810524,0,eth0,1867840,0,1013882633,0
2022-06-01 12:32:39.608537+00:00,3721730,15,204811246,0,eth0,1867848,0,1013886741,0
2022-06-01 12:32:54.607541+00:00,3721745,15,204812147,0,eth0,1867859,0,1013892245,0
2022-06-01 12:33:09.607645+00:00,3721757,15,204812869,0,eth0,1867867,0,1013896354,0
2022-06-01 12:33:24.601790+00:00,3721771,15,204813724,0,eth0,1867877,0,1013901757,0
2022-06-01 12:33:39.626428+00:00,3721784,15,204814492,0,eth0,1867886,0,1013905908,0
2022-06-01 12:33:54.624295+00:00,3721797,15,204815295,0,eth0,1867896,0,1013911318,0
2022-06-01 12:34:09.603999+00:00,3721809,15,204816017,0,eth0,1867904,0,1013915418,0
2022-06-01 12:34:24.622425+00:00,3721824,15,204816918,0,eth0,1867915,0,1013920909,0
2022-06-01 12:34:39.613885+00:00,3721836,15,204817640,0,eth0,1867923,0,1013925025,0
2022-06-01 12:34:54.606513+00:00,3721849,15,204818443,0,eth0,1867933,0,1013930428,0
2022-06-01 12:35:09.624314+00:00,3721868,15,204819681,0,eth0,1867946,0,1013935268,0
2022-06-01 12:35:24.602459+00:00,3721882,15,204820536,0,eth0,1867956,0,1013940707,0
2022-06-01 12:35:39.606469+00:00,3721894,15,204821258,0,eth0,1867964,0,1013944869,0
2022-06-01 12:35:54.595187+00:00,3721909,15,204822159,0,eth0,1867975,0,1013950368,0
2022-06-01 12:36:09.598475+00:00,3721921,15,204822881,0,eth0,1867983,0,1013954511,0
2022-06-01 12:36:24.605245+00:00,3721934,15,204823684,0,eth0,1867993,0,1013959917,0
2022-06-01 12:36:39.605979+00:00,3721947,15,204824452,0,eth0,1868002,0,1013964108,0
2022-06-01 12:36:54.600942+00:00,3721961,15,204825307,0,eth0,1868012,0,1013969541,0
2022-06-01 12:37:09.777688+00:00,3721974,15,204826075,0,eth0,1868021,0,1013973721,0
2022-06-01 12:37:24.626951+00:00,3721988,15,204826930,0,eth0,1868031,0,1013979169,0
2022-06-01 12:37:39.608158+00:00,3722000,15,204827652,0,eth0,1868039,0,1013983313,0
2022-06-01 12:37:54.627657+00:00,3722015,15,204828553,0,eth0,1868050,0,1013988804,0
