severity__,hdbscan_on_7D_data,hdbscan_on_2D_data,dbscan_on_7D_data,dbscan_on_2D_data,kmeans_on_7D_data,kmeans_on_2D_data
INFO,-1,2,-1,0,6,3
INFO,3,2,0,0,1,3
INFO,4,3,0,1,3,6
INFO,-1,3,-1,2,3,1
INFO,4,3,0,2,3,1
INFO,3,2,0,0,1,3
INFO,4,3,0,1,3,6
INFO,4,3,0,1,3,6
INFO,-1,3,-1,1,4,6
INFO,1,0,1,3,0,0
INFO,0,1,1,4,7,7
INFO,1,0,1,3,0,0
INFO,1,0,1,3,0,0
WARNING,2,4,2,5,5,4
WARNING,1,0,1,3,0,0
WARNING,6,5,2,6,2,2
WARNING,2,4,2,5,5,4
WARNING,2,4,2,5,5,4
WARNING,-1,6,2,7,2,5
WARNING,6,5,2,6,2,2
INFO,6,5,2,6,2,2
INFO,-1,6,2,7,2,5
INFO,0,1,1,4,7,7
INFO,2,4,2,5,5,4
WARNING,6,5,2,6,2,2
WARNING,6,5,2,6,2,2
WARNING,6,5,2,6,2,2
INFO,2,4,2,5,5,4
INFO,6,5,2,6,2,2
INFO,2,4,2,5,5,4
WARNING,6,5,2,6,2,2
WARNING,1,0,1,3,0,0
WARNING,2,4,2,5,5,4
WARNING,6,5,2,6,2,2
WARNING,6,5,2,6,2,2
WARNING,2,4,2,5,5,4
WARNING,6,5,2,6,2,2
INFO,6,5,2,6,2,2
WARNING,6,5,2,6,2,2
WARNING,1,0,1,8,0,0
WARNING,-1,2,-1,0,1,3
WARNING,4,3,0,2,3,1
WARNING,4,3,0,2,3,1
WARNING,3,2,0,0,1,3
WARNING,4,3,0,2,3,1
WARNING,4,3,0,1,3,6
INFO,4,3,0,1,3,6
INFO,3,2,0,0,1,3
INFO,4,3,0,-1,3,6
INFO,4,3,0,1,3,6
INFO,-1,3,-1,2,3,1
INFO,3,2,0,0,1,3
INFO,4,3,0,2,3,1
INFO,3,2,0,0,1,3
INFO,4,3,0,1,3,6
INFO,4,3,0,2,3,1
INFO,4,3,0,2,3,1
INFO,4,3,0,2,3,1
INFO,3,2,0,0,1,3
INFO,4,3,0,2,3,1
INFO,4,3,0,2,3,1
INFO,4,3,0,1,3,6
INFO,4,3,0,1,3,6
INFO,-1,1,1,4,7,7
INFO,1,0,1,8,0,0
INFO,0,1,1,4,7,7
INFO,1,0,1,8,0,0
INFO,0,1,1,4,7,7
INFO,-1,0,-1,8,0,0
CRITICAL,1,0,1,8,0,0
CRITICAL,1,0,1,8,0,0
CRITICAL,1,0,1,8,0,0
CRITICAL,0,1,1,4,7,7
CRITICAL,1,0,1,8,0,0
CRITICAL,1,0,1,8,0,0
CRITICAL,1,0,1,8,0,0
CRITICAL,1,0,1,8,0,0
CRITICAL,-1,6,2,7,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,1,0,1,8,0,0
CRITICAL,5,7,2,9,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,1,0,1,8,0,0
CRITICAL,2,4,2,5,5,4
CRITICAL,-1,6,2,7,2,5
CRITICAL,-1,6,2,7,2,5
CRITICAL,0,1,1,4,7,7
CRITICAL,2,4,2,5,5,4
CRITICAL,5,7,2,9,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,1,0,1,8,0,0
CRITICAL,-1,6,2,7,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,2,4,2,5,5,4
CRITICAL,0,1,1,4,7,7
CRITICAL,5,7,2,9,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,5,7,2,9,2,5
CRITICAL,1,0,1,8,0,0
CRITICAL,5,7,2,9,2,5
CRITICAL,-1,2,-1,0,1,3
CRITICAL,3,2,0,0,1,3
CRITICAL,4,3,0,1,3,6
CRITICAL,3,2,0,0,1,3
CRITICAL,4,3,0,2,3,1
CRITICAL,4,3,0,2,3,1
INFO,4,3,0,2,3,1
INFO,4,3,0,2,3,1
INFO,4,3,0,1,3,6
INFO,4,3,0,1,3,6
INFO,-1,3,-1,2,3,1
INFO,4,3,0,2,3,1
INFO,4,3,0,2,3,1
INFO,4,3,0,1,3,6
INFO,3,2,0,0,1,3
INFO,4,3,0,2,3,1
INFO,3,2,0,0,1,3
INFO,4,3,0,-1,3,1
INFO,3,2,0,0,1,3
