in_packets,in_bytes,out_packets,out_bytes
1979858,154018967,3245140,1394053615
1979928,154023640,3245193,1394064239
1979937,154024306,3245208,1394069498
1979947,154024989,3245221,1394075129
1979959,154025830,3245237,1394080404
1980015,154029919,3245276,1394088987
1980023,154030533,3245290,1394094165
1980036,154031486,3245304,1394099967
1980082,154034868,3245342,1394107886
1980089,154035401,3245353,1394113364
1980098,154036061,3245368,1394118559
1980106,154036640,3245380,1394124068
1980114,154037254,3245394,1394129219
1980122,154037833,3245406,1394134758
1980130,154038447,3245420,1394139953
1980139,154039078,3245432,1394145507
1980148,154039738,3245447,1394150723
1980157,154040683,3245461,1394156426
1980166,154041343,3245477,1394161735
1980173,154041876,3245490,1394167444
1980182,154042536,3245506,1394172756
1980191,154043167,3245518,1394178331
1980199,154043781,3245532,1394183507
1980207,154044366,3245543,1394189020
1980216,154045026,3245558,1394194222
1980224,154045611,3245569,1394199720
1980233,154046271,3245584,1394204932
1980239,154046752,3245595,1394210404
1980247,154047366,3245609,1394215558
1980256,154047997,3245621,1394221103
1980264,154048611,3245635,1394226256
1980272,154049190,3245647,1394231803
1980280,154049804,3245661,1394236968
1980288,154050389,3245672,1394242462
1980297,154051049,3245687,1394247690
1980304,154051582,3245698,1394253179
1980313,154052242,3245713,1394258388
1980321,154052827,3245724,1394263923
1980329,154053441,3245738,1394269107
1980401,154058914,3245792,1394279625
1980412,154059720,3245808,1394285051
1980419,154060253,3245819,1394290514
1980428,154060913,3245834,1394295725
1980436,154061498,3245845,1394301255
1980444,154062112,3245859,1394306439
1980453,154062749,3245870,1394311920
1980462,154063409,3245885,1394317126
1980469,154063942,3245896,1394322627
1980477,154064556,3245910,1394327795
1980486,154065187,3245922,1394333342
1980494,154065801,3245936,1394338532
1980502,154066386,3245947,1394344043
1980511,154067046,3245962,1394349254
1980518,154067579,3245973,1394354758
1980526,154068193,3245987,1394359890
1980533,154068726,3245998,1394365391
1980542,154069386,3246013,1394370600
1980550,154069971,3246024,1394376096
1980558,154070585,3246038,1394381304
1980566,154071164,3246050,1394386838
1980574,154071778,3246064,1394392016
1980582,154072363,3246075,1394397518
1980617,154074989,3246106,1394404776
1980625,154075574,3246117,1394410303
1980633,154076188,3246131,1394415463
1980641,154076773,3246142,1394421005
1980650,154077433,3246157,1394426201
1980658,154078012,3246169,1394431721
1980666,154078626,3246183,1394436888
1980675,154079257,3246195,1394442445
1980684,154079917,3246210,1394447680
1980692,154080502,3246221,1394453202
1980701,154081162,3246236,1394458409
1980709,154081741,3246248,1394463893
1980717,154082355,3246262,1394469062
1980726,154082986,3246274,1394474601
1980735,154083646,3246289,1394479803
1980742,154084179,3246300,1394485276
1980751,154084839,3246315,1394490472
1980760,154085470,3246327,1394496021
1980768,154086084,3246341,1394501158
1980776,154086663,3246353,1394506654
1980785,154087323,3246368,1394511855
1980792,154087856,3246379,1394517361
1980801,154088516,3246394,1394522566
1980809,154089101,3246405,1394528061
1980818,154089761,3246420,1394533266
1980826,154090340,3246432,1394538797
1980834,154090954,3246446,1394543947
1980843,154091585,3246458,1394549508
1980851,154092199,3246472,1394554622
1980859,154092778,3246484,1394560187
1980868,154093438,3246499,1394565402
1980876,154094023,3246510,1394570893
1980885,154094683,3246525,1394576123
1980892,154095216,3246536,1394581629
1980905,154096188,3246553,1394587115
1980913,154096767,3246565,1394592646
1980921,154097381,3246579,1394597816
1980929,154097960,3246591,1394603356
1980937,154098574,3246605,1394608554
1980954,154101062,3246628,1394618078
1980964,154101774,3246644,1394623366
1980972,154102359,3246656,1394628927
1980982,154103071,3246672,1394634200
1980993,154103837,3246684,1394639765
1981002,154104497,3246699,1394644981
1981009,154105030,3246710,1394650444
1981018,154105690,3246725,1394655649
1981026,154106275,3246736,1394661145
1981034,154106889,3246750,1394666290
1981042,154107468,3246762,1394671823
1981050,154108082,3246776,1394677004
1981059,154108713,3246788,1394682572
1981067,154109327,3246802,1394687766
1981075,154109906,3246814,1394693313
1981083,154110520,3246828,1394698489
1981093,154111261,3246840,1394704124
1981101,154111875,3246854,1394709274
1981109,154112454,3246866,1394714789
